TERM	POSTING_LIST
0	140:1 146:1 159:1 217:1 282:1 400:2 401:1 404:2 406:1 550:1 596:1 738:1 764:1 809:1 810:1 899:2 
00	146:1 295:3 316:2 334:1 337:1 460:1 618:1 
000	116:1 169:1 176:1 213:1 289:2 291:2 297:2 29:2 309:1 442:1 460:1 464:3 477:1 590:2 593:1 619:4 678:1 695:1 758:2 810:2 818:1 884:1 886:2 889:3 890:3 893:3 
004	766:1 899:1 
00am	118:1 
01	334:1 92:1 95:1 
01am	179:1 181:1 186:1 
02	115:1 
025	124:1 
027	520:1 
03	337:1 
0306	728:1 
04	159:1 337:1 
05	146:1 334:1 573:1 
053411	146:1 
06	762:1 
067	520:1 
07	167:1 525:1 
071	525:1 
08	759:1 
082	519:1 523:1 
084	522:1 
086	144:1 405:1 
09	179:1 181:1 186:1 830:1 834:1 
095	258:1 
098	467:1 
09t21	337:1 
0â°c	219:1 
1	105:1 108:1 110:2 114:1 115:4 116:1 124:1 130:1 131:1 136:1 137:1 138:1 141:2 143:1 150:1 155:1 156:1 157:1 159:2 164:1 166:2 167:1 168:1 169:1 170:1 176:1 179:1 181:1 186:2 191:2 199:1 200:1 12:1 67:1 89:1 92:1 99:1 101:1 103:2 202:1 210:1 238:2 249:1 250:2 251:1 255:1 256:1 262:1 263:1 267:1 272:1 274:2 276:1 280:1 283:1 288:1 289:3 290:1 295:1 297:3 329:2 332:1 339:1 342:1 343:1 344:1 346:1 361:1 362:1 368:2 376:1 388:1 398:3 402:1 404:1 405:1 406:1 440:1 443:1 449:1 452:2 453:2 469:2 470:2 474:1 499:1 502:1 507:1 520:5 522:2 526:1 535:1 540:2 541:2 547:1 550:1 551:1 566:2 569:1 570:1 571:1 573:1 593:1 605:1 611:1 619:1 621:1 637:1 644:1 652:2 654:2 656:1 657:1 690:2 691:5 692:2 693:2 695:2 696:1 700:1 704:1 705:1 706:1 726:1 729:2 730:1 733:1 735:1 737:1 749:1 753:1 757:1 760:1 761:1 764:1 765:2 766:1 771:1 777:1 789:1 790:3 792:1 793:1 794:1 795:1 805:1 809:1 813:1 816:1 818:1 833:1 834:1 845:1 848:1 852:1 864:1 870:1 886:2 889:1 893:1 899:1 903:1 908:1 
10	164:1 183:1 184:1 189:1 264:1 267:1 268:1 279:1 309:1 329:1 376:1 396:1 35:1 446:2 452:1 477:1 492:1 499:1 520:1 616:1 644:1 653:1 654:2 794:1 795:1 814:1 815:1 818:1 856:1 906:1 908:1 
100	122:1 169:1 213:1 235:1 293:1 297:1 29:2 329:1 446:1 449:2 456:2 464:1 637:1 772:1 807:1 825:1 826:1 835:1 
1000	754:1 
1005	885:1 
1008	885:1 
100ms	420:1 
100â°c	219:1 
102	589:1 593:3 620:1 621:1 
104	117:1 
106	253:1 
108	633:1 
109	124:1 250:1 
10â¢	566:1 
11	143:1 179:1 181:1 186:1 211:1 295:1 334:1 390:1 425:1 500:1 519:1 523:1 654:3 721:1 737:3 749:1 763:1 814:1 815:1 862:1 
110	548:1 593:2 
1100	292:1 294:1 
111	252:1 
114	212:1 
115	521:1 
1153	400:1 403:1 
116	249:1 520:1 
1168	249:1 
1195	851:1 
11a	426:1 
11b	426:1 
11g	426:1 
11â13	649:1 658:1 
12	106:1 155:1 211:1 212:1 213:1 216:1 263:1 292:1 294:1 421:1 560:1 589:1 749:1 751:1 763:1 772:1 810:1 814:1 815:1 822:1 
121	117:1 764:1 
1220	887:1 
123	290:1 881:1 
124	561:1 
125	232:1 617:1 
13	155:1 267:1 285:1 292:2 294:1 396:1 397:1 404:1 589:1 592:1 595:1 598:1 653:1 737:1 810:1 887:1 
131	614:1 
1314	726:1 728:1 
134	813:1 816:1 
1351	885:1 
1356536031	364:1 367:1 
13c	535:1 
13th	72:1 
14	155:1 166:1 214:1 263:1 267:1 412:1 431:1 469:2 470:1 519:1 520:1 523:1 598:1 607:2 832:1 880:1 894:1 
140	482:1 633:1 
145th	649:1 658:1 
147570	276:1 
149	117:1 607:1 
15	112:1 143:1 162:2 235:1 274:1 292:1 294:1 394:1 396:1 404:1 40:1 44:1 469:2 470:1 520:1 560:1 612:1 754:1 764:1 794:1 795:1 
1527	668:2 
1540	140:1 
1541	173:1 
1555	668:2 
1578763462	363:2 366:2 
158	814:1 815:1 
1580s	535:1 
1597	668:2 
15t12	334:1 
